year,trend
2020-4-25,99.42436729
2020-4-26,99.41060835
2020-4-27,99.45579697
2020-4-28,101.8770405
2020-4-29,99.39453339
2020-4-30,97.94865538
2020-5-1,97.13649721
2020-5-2,97.98455254
2020-5-3,99.55436397
2020-5-4,99.16264174
2020-5-5,99.63544782
2020-5-6,104.4260626
2020-5-7,105.8868992
2020-5-8,107.3377549
2020-5-9,110.3566783
2020-5-10,109.0615557
2020-5-11,110.1734399
2020-5-12,108.7128894
2020-5-13,107.5272581
2020-5-14,107.3703161
2020-5-15,106.6480649
2020-5-16,104.2671795
2020-5-17,105.2537497
2020-5-18,105.1977154
2020-5-19,105.0890714
2020-5-20,105.2633371
2020-5-21,105.8723761
2020-5-22,106.7566304
2020-5-23,106.5429583
2020-5-24,105.9082235
2020-5-25,105.8364727
2020-5-26,105.27197
2020-5-27,104.6179709
2020-5-28,103.9219522
2020-5-29,105.1908537
2020-5-30,101.5642268
2020-5-31,99.90361796
2020-6-1,99.30061678
2020-6-2,99.59867599
2020-6-3,100.1358166
2020-6-4,101.3245966
2020-6-5,101.5948953
2020-6-6,106.0596928
2020-6-7,106.987483
2020-6-8,107.9182168
2020-6-9,110.5739757
2020-6-10,111.6222927
2020-6-11,111.6171456
2020-6-12,110.9044733
2020-6-13,110.7335351
2020-6-14,112.1173831
2020-6-15,112.4288029
2020-6-16,110.1030843
2020-6-17,108.5688898
2020-6-18,107.4469247
2020-6-19,106.5480864
2020-6-20,106.1885659
2020-6-21,105.7280193
2020-6-22,103.5996041
2020-6-23,102.6086694
2020-6-24,103.401498
2020-6-25,104.6844319
2020-6-26,104.6600473
2020-6-27,104.7612328
2020-6-28,106.0873583
2020-6-29,103.9896027
2020-6-30,102.1253423
2020-7-1,101.7353382
2020-7-2,101.6323666
2020-7-3,100.717797
2020-7-4,100.9225123
2020-7-5,101.1331157
2020-7-6,106.3862966
2020-7-7,108.3017108
2020-7-8,108.8290342
2020-7-9,111.3934683
2020-7-10,112.3166736
2020-7-11,112.2978575
2020-7-12,110.9658335
2020-7-13,109.6682514
2020-7-14,110.6374872
2020-7-15,110.3932214
2020-7-16,107.1809513
2020-7-17,107.0827761
2020-7-18,106.7076775
2020-7-19,106.8591069
2020-7-20,107.6332652
2020-7-21,108.6397811
2020-7-22,109.5469748
2020-7-23,109.9204418
2020-7-24,110.5105507
2020-7-25,111.2601848
2020-7-26,112.1917716
2020-7-27,112.7960579
2020-7-28,113.0528745
2020-7-29,113.9186515
2020-7-30,109.6795155
2020-7-31,106.0501168
2020-8-1,104.6850319
2020-8-2,103.4759159
2020-8-3,102.1956694
2020-8-4,101.3119749
2020-8-5,100.7314016
2020-8-6,106.4542723
2020-8-7,108.7651982
2020-8-8,109.4920466
2020-8-9,112.4502007
2020-8-10,113.5515089
2020-8-11,114.8793153
2020-8-12,115.4203027
2020-8-13,115.4071554
2020-8-14,118.5106748
2020-8-15,120.4024172
2020-8-16,118.7787591
2020-8-17,118.2222946
2020-8-18,116.9222897
2020-8-19,115.6941482
2020-8-20,114.7828945
2020-8-21,113.6079338
2020-8-22,112.9328815
2020-8-23,112.3836873
2020-8-24,112.1304615
2020-8-25,112.3777198
2020-8-26,112.6304994
2020-8-27,112.6474518
2020-8-28,112.4615751
2020-8-29,113.08639
2020-8-30,107.1435875
2020-8-31,105.0220087
2020-9-1,103.6329747
2020-9-2,103.4170359
2020-9-3,103.7618635
2020-9-4,103.0347542
2020-9-5,101.8185858
2020-9-6,108.6045777
2020-9-7,109.828096
2020-9-8,110.817379
2020-9-9,113.4778476
2020-9-10,112.8930327
2020-9-11,113.622127
2020-9-12,113.6575491
2020-9-13,112.6801661
2020-9-14,113.7890764
2020-9-15,114.2018361
2020-9-16,111.8586872
2020-9-17,112.3404606
2020-9-18,111.8920346
2020-9-19,111.291239
2020-9-20,110.7706816
2020-9-21,110.1340638
2020-9-22,108.2764097
2020-9-23,105.9172737
2020-9-24,103.739117
2020-9-25,101.3654324
2020-9-26,98.88263869
2020-9-27,96.47831572
2020-9-28,98.20426595
2020-9-29,94.44920617
2020-9-30,94.15428494
2020-10-1,95.42227945
2020-10-2,96.4060554
2020-10-3,99.26878736
2020-10-4,101.3811799
2020-10-5,101.3408959
2020-10-6,107.2938317
2020-10-7,108.909008
2020-10-8,109.6138218
2020-10-9,113.7088212
2020-10-10,112.9913
2020-10-11,113.1173126
2020-10-12,111.4422685
2020-10-13,110.435005
2020-10-14,110.7088142
2020-10-15,110.2097822
2020-10-16,107.1164854
2020-10-17,107.3529742
2020-10-18,107.8150184
2020-10-19,108.5288338
2020-10-20,109.3245507
2020-10-21,110.1620152
2020-10-22,110.8386632
2020-10-23,111.1229612
2020-10-24,111.3497354
2020-10-25,111.2964624
2020-10-26,111.0478058
2020-10-27,110.6775262
2020-10-28,110.5382818
2020-10-29,111.5593266
2020-10-30,106.0740847
2020-10-31,103.4098843
2020-11-1,101.8325417
2020-11-2,100.2725052
2020-11-3,100.6647536
2020-11-4,99.62606607
2020-11-5,99.99510532
2020-11-6,105.7018091
2020-11-7,107.6406576
2020-11-8,109.2156351
2020-11-9,113.6978415
2020-11-10,113.5134298
2020-11-11,114.6958462
2020-11-12,113.6786874
2020-11-13,114.1725825
2020-11-14,115.7730067
2020-11-15,117.8458748
2020-11-16,117.2886764
2020-11-17,119.7999842
2020-11-18,122.4126487
2020-11-19,125.7024342
2020-11-20,129.4113905
2020-11-21,132.5885365
2020-11-22,134.353137
2020-11-23,135.8382762
2020-11-24,137.0697071
2020-11-25,138.3487785
2020-11-26,139.0894935
2020-11-27,139.4120862
2020-11-28,135.9187021
2020-11-29,126.3492667
2020-11-30,119.7558582
2020-12-1,113.662002
2020-12-2,108.2204697
2020-12-3,104.2100738
2020-12-4,98.13742495
2020-12-5,98.55648699
2020-12-6,104.2916848
2020-12-7,106.5872297
2020-12-8,108.7960257
2020-12-9,112.8990537
2020-12-10,115.3581376
2020-12-11,119.9108601
2020-12-12,122.106577
2020-12-13,125.2670217
2020-12-14,128.8024668
2020-12-15,131.8593039
2020-12-16,131.990229
2020-12-17,131.8946534
2020-12-18,131.5560352
2020-12-19,131.1902382
2020-12-20,130.8568487
2020-12-21,130.7492919
2020-12-22,130.6537539
2020-12-23,130.287714
2020-12-24,129.7582416
2020-12-25,129.3745417
2020-12-26,129.3411743
2020-12-27,129.4738925
2020-12-28,129.5632565
2020-12-29,129.9110095
2020-12-30,127.3196274
2020-12-31,123.7589049
2021-1-1,122.2614456
2021-1-2,117.3491153
2021-1-3,114.634103
2021-1-4,110.4001506
2021-1-5,107.3353082
2021-1-6,108.8763426
2021-1-7,109.0578088
2021-1-8,107.4150636
2021-1-9,110.1832792
2021-1-10,113.7767177
2021-1-11,117.8636983
2021-1-12,120.2833472
2021-1-13,121.4118148
2021-1-14,124.6506713
2021-1-15,126.9315443
2021-1-16,127.6987052
2021-1-17,125.2171017
2021-1-18,123.8613515
2021-1-19,122.2924526
2021-1-20,120.4676511
2021-1-21,118.6603447
2021-1-22,117.2576753
2021-1-23,115.9941563
2021-1-24,114.5774014
2021-1-25,113.1272392
2021-1-26,111.6255166
2021-1-27,110.0850104
2021-1-28,108.6042006
2021-1-29,110.435252
2021-1-30,110.3305067
2021-1-31,110.4930418
2021-2-1,111.5800277
2021-2-2,109.331842
2021-2-3,109.7367077
2021-2-4,109.7628842
2021-2-5,108.2877768
2021-2-6,110.0893383
2021-2-7,108.6308037
2021-2-8,107.0262872
2021-2-9,110.3037627
2021-2-10,105.4251179
2021-2-11,101.5053711
2021-2-12,95.84760154
2021-2-13,88.7851847
2021-2-14,85.41679798
2021-2-15,81.01026456
2021-2-16,75.65932964
2021-2-17,76.09317868
2021-2-18,76.48783569
2021-2-19,77.22321268
2021-2-20,78.97615889
2021-2-21,80.7834574
2021-2-22,83.25326411
